#CHR	START	END	clone0	clone1	clone2
chr1	0	64339000	2|2	2|2	2|2
chr1	64339000	64850000	2|2	1|2	1|2
chr1	64850000	65331000	2|2	1|3	1|3
chr1	65331000	78509000	2|2	2|3	2|3
chr1	78509000	88516000	2|2	2|2	2|2
chr1	88516000	91205000	4|2	4|2	4|2
chr1	91205000	101697000	2|2	2|2	2|2
chr1	101697000	102694000	3|2	3|2	3|2
chr1	102694000	129555000	2|2	2|2	2|2
chr1	129555000	130551000	1|2	1|2	1|2
chr1	130551000	135551000	2|2	2|2	2|2
chr1	135551000	142101000	2|2	2|2	2|1
chr1	142101000	143995000	1|2	1|2	1|1
chr1	143995000	149811000	2|2	2|2	2|1
chr1	149811000	150814000	2|2	2|2	2|2
chr1	150814000	154841000	2|2	2|2	2|1
chr1	154841000	166058000	2|2	2|2	2|2
chr1	166058000	167070000	2|2	2|2	2|1
chr1	167070000	188315000	2|2	2|2	2|2
chr1	188315000	190486000	2|2	3|2	3|2
chr1	190486000	200852000	2|2	2|2	2|2
chr1	200852000	222755000	2|2	2|2	2|3
chr1	222755000	235826000	2|2	2|2	2|2
chr1	235826000	236808000	2|2	2|2	1|2
chr1	236808000	249250621	2|2	2|2	2|2
chr2	0	1000	2|2	4|2	4|2
chr2	1000	4701000	2|2	3|2	3|2
chr2	4701000	16548000	0|2	0|2	0|2
chr2	16548000	26779000	2|2	3|2	3|2
chr2	26779000	27778000	2|2	4|2	4|2
chr2	27778000	44349000	2|2	3|2	3|2
chr2	44349000	48179000	4|2	6|2	6|2
chr2	48179000	49193000	4|2	7|2	7|2
chr2	49193000	52592000	4|2	6|2	6|2
chr2	52592000	55377000	4|2	7|2	7|2
chr2	55377000	57869000	4|2	6|2	6|2
chr2	57869000	60445000	4|2	6|2	5|2
chr2	60445000	60728000	4|2	6|2	6|2
chr2	60728000	70428000	2|2	3|2	3|2
chr2	70428000	79258000	2|2	3|2	2|2
chr2	79258000	81781000	2|2	3|2	3|2
chr2	81781000	82457000	2|2	4|2	4|2
chr2	82457000	82783000	2|2	4|2	3|2
chr2	82783000	85969000	2|2	3|2	2|2
chr2	85969000	97322000	2|2	3|2	3|2
chr2	97322000	98318000	2|2	3|2	2|2
chr2	98318000	100488000	2|2	3|2	3|2
chr2	100488000	101494000	2|2	4|2	4|2
chr2	101494000	151250000	2|2	3|2	3|2
chr2	151250000	153705000	2|2	3|2	2|2
chr2	153705000	168439000	2|2	3|2	3|2
chr2	168439000	169436000	2|2	3|2	2|2
chr2	169436000	178134000	2|2	3|2	3|2
chr2	178134000	179140000	2|2	3|3	3|3
chr2	179140000	194319000	2|2	3|2	3|2
chr2	194319000	196280000	2|2	4|2	4|2
chr2	196280000	197290000	2|2	4|2	5|2
chr2	197290000	198064000	2|2	4|2	4|2
chr2	198064000	203139000	2|2	3|2	3|2
chr2	203139000	204137000	2|2	3|2	3|3
chr2	204137000	222221000	2|2	3|2	3|2
chr2	222221000	231546000	2|2	2|2	2|2
chr2	231546000	243199373	2|2	3|2	3|2
chr3	0	14951000	2|2	3|0	3|0
chr3	14951000	15966000	2|2	3|0	2|0
chr3	15966000	21821000	2|2	3|0	3|0
chr3	21821000	24765000	2|2	4|0	4|0
chr3	24765000	66453000	2|2	3|0	3|0
chr3	66453000	67463000	2|3	3|0	3|0
chr3	67463000	93890000	2|2	3|0	3|0
chr3	93890000	106382000	2|2	4|0	4|0
chr3	106382000	175400000	2|2	3|0	3|0
chr3	175400000	179093000	2|2	4|0	4|0
chr3	179093000	198022430	2|2	3|0	3|0
chr4	0	1614000	2|2	2|2	0|0
chr4	1614000	2617000	2|2	3|2	0|0
chr4	2617000	33814000	2|2	2|2	0|0
chr4	33814000	34807000	2|2	1|2	0|0
chr4	34807000	53588000	2|2	2|2	0|0
chr4	53588000	56918000	2|2	3|2	0|0
chr4	56918000	71031000	2|2	2|2	0|0
chr4	71031000	74531000	0|2	0|2	0|0
chr4	74531000	105477000	2|2	2|2	0|0
chr4	105477000	106471000	2|4	2|4	0|0
chr4	106471000	132544000	2|2	2|2	0|0
chr4	132544000	134743000	2|4	2|4	0|0
chr4	134743000	149198000	2|2	2|2	0|0
chr4	149198000	152492000	2|2	3|2	0|0
chr4	152492000	153686000	2|2	2|2	0|0
chr4	153686000	154697000	2|2	3|2	0|0
chr4	154697000	191154276	2|2	2|2	0|0
chr5	0	32368000	2|2	2|3	2|3
chr5	32368000	50232000	0|2	0|3	0|3
chr5	50232000	51363000	0|2	0|3	0|4
chr5	51363000	52171000	2|2	2|3	2|4
chr5	52171000	53165000	2|2	3|3	3|4
chr5	53165000	54047000	2|2	2|3	2|4
chr5	54047000	55982000	2|2	2|3	2|3
chr5	55982000	66316000	2|2	2|4	2|4
chr5	66316000	84926000	2|2	2|3	2|3
chr5	84926000	88536000	2|2	1|3	1|3
chr5	88536000	92139000	2|2	2|3	2|3
chr5	92139000	93140000	0|2	0|3	0|3
chr5	93140000	132765000	2|2	2|3	2|3
chr5	132765000	133293000	2|2	2|3	3|3
chr5	133293000	133763000	2|2	2|2	3|2
chr5	133763000	133821000	2|2	2|2	2|2
chr5	133821000	134277000	2|2	2|2	3|2
chr5	134277000	134829000	2|2	2|3	3|3
chr5	134829000	151322000	2|2	2|3	2|3
chr5	151322000	153002000	2|2	2|3	3|3
chr5	153002000	154500000	2|2	3|3	4|3
chr5	154500000	157055000	2|2	3|3	3|3
chr5	157055000	160472000	2|2	2|3	2|3
chr5	160472000	161470000	2|0	2|0	2|0
chr5	161470000	172740000	2|2	2|3	2|3
chr5	172740000	175036000	2|2	1|3	1|3
chr5	175036000	176240000	2|2	2|3	2|3
chr5	176240000	176926000	2|2	2|4	2|4
chr5	176926000	180832000	2|2	2|4	3|4
chr5	180832000	180915260	2|2	2|4	2|4
chr6	0	19108000	2|2	2|2	2|2
chr6	19108000	19194000	2|2	3|2	3|2
chr6	19194000	20202000	2|0	3|0	3|0
chr6	20202000	22736000	2|2	3|2	3|2
chr6	22736000	37504000	2|2	2|2	2|2
chr6	37504000	39105000	2|2	2|2	2|1
chr6	39105000	46540000	3|2	3|2	3|1
chr6	46540000	55857000	3|2	3|2	3|2
chr6	55857000	56456000	2|2	2|2	2|2
chr6	56456000	57467000	3|2	3|2	3|2
chr6	57467000	65937000	2|2	2|2	2|2
chr6	65937000	66940000	2|2	3|2	3|2
chr6	66940000	71726000	2|2	2|2	2|2
chr6	71726000	72726000	2|2	3|2	3|2
chr6	72726000	92118000	2|2	2|2	2|2
chr6	92118000	96737000	4|2	4|2	5|2
chr6	96737000	100784000	4|2	4|2	4|2
chr6	100784000	101791000	4|2	4|2	5|2
chr6	101791000	101870000	4|2	4|2	4|2
chr6	101870000	102032000	4|2	4|2	5|2
chr6	102032000	109398000	2|2	2|2	2|2
chr6	109398000	110398000	2|2	2|2	1|2
chr6	110398000	114071000	2|2	2|2	2|2
chr6	114071000	115074000	2|2	2|2	2|1
chr6	115074000	122536000	2|2	2|2	2|2
chr6	122536000	125594000	2|2	2|2	2|1
chr6	125594000	129949000	2|2	2|2	2|2
chr6	129949000	130935000	1|2	1|2	1|2
chr6	130935000	138237000	2|2	2|2	2|2
chr6	138237000	139235000	2|2	1|2	1|2
chr6	139235000	171115067	2|2	2|2	2|2
chr7	0	7088000	2|2	2|2	2|0
chr7	7088000	9800000	2|2	2|2	3|0
chr7	9800000	11326000	2|2	2|3	3|0
chr7	11326000	22767000	2|2	2|3	2|0
chr7	22767000	23755000	2|2	3|3	3|0
chr7	23755000	29570000	2|2	2|3	2|0
chr7	29570000	30566000	2|2	2|3	1|0
chr7	30566000	31090000	2|2	2|3	2|0
chr7	31090000	32498000	4|2	4|3	4|0
chr7	32498000	34642000	4|2	4|2	4|0
chr7	34642000	46195000	2|2	2|2	2|0
chr7	46195000	47195000	0|2	0|2	0|0
chr7	47195000	56737000	2|2	2|2	2|0
chr7	56737000	57728000	2|4	2|4	2|0
chr7	57728000	68729000	2|2	2|2	2|0
chr7	68729000	69738000	2|4	2|4	2|0
chr7	69738000	72492000	2|2	2|2	2|0
chr7	72492000	84542000	2|2	2|3	2|0
chr7	84542000	136377000	2|2	2|2	2|0
chr7	136377000	137394000	2|0	2|0	2|0
chr7	137394000	146676000	2|2	2|2	2|0
chr7	146676000	147330000	2|2	3|2	3|0
chr7	147330000	147677000	2|2	3|3	3|0
chr7	147677000	148321000	2|2	2|3	2|0
chr7	148321000	159138663	2|2	2|2	2|0
chr8	0	10101000	2|2	2|3	2|1
chr8	10101000	13325000	2|2	2|3	2|2
chr8	13325000	14333000	2|2	2|4	2|2
chr8	14333000	18380000	2|2	2|3	2|2
chr8	18380000	26781000	2|2	2|2	2|1
chr8	26781000	30652000	2|3	2|3	2|2
chr8	30652000	45212000	2|2	2|2	2|1
chr8	45212000	51053000	2|2	2|2	3|1
chr8	51053000	53470000	2|2	2|2	3|0
chr8	53470000	54514000	2|2	2|2	2|0
chr8	54514000	63400000	2|2	2|2	2|1
chr8	63400000	64408000	3|2	3|2	3|1
chr8	64408000	73090000	2|2	2|2	2|1
chr8	73090000	73856000	0|2	0|2	0|1
chr8	73856000	77322000	0|2	0|2	0|0
chr8	77322000	82181000	0|2	0|2	0|1
chr8	82181000	83216000	2|2	2|2	2|1
chr8	83216000	84190000	2|2	1|2	1|1
chr8	84190000	90696000	2|2	2|2	2|1
chr8	90696000	91690000	2|2	2|2	3|1
chr8	91690000	94392000	2|2	2|2	2|1
chr8	94392000	98408000	2|2	3|2	3|1
chr8	98408000	141464000	2|2	2|2	2|1
chr8	141464000	146364022	2|2	2|3	2|2
chr9	0	9574000	2|2	2|5	2|5
chr9	9574000	10310000	2|2	2|3	2|3
chr9	10310000	11563000	2|2	2|3	3|3
chr9	11563000	16559000	2|2	1|3	1|3
chr9	16559000	18887000	2|2	1|3	1|4
chr9	18887000	19234000	2|2	2|3	3|4
chr9	19234000	21618000	2|2	2|3	3|3
chr9	21618000	38503000	2|2	2|3	2|3
chr9	38503000	43318000	2|2	2|1	2|1
chr9	43318000	43517000	2|2	3|1	3|1
chr9	43517000	46387000	2|0	3|0	3|0
chr9	46387000	50000000	2|2	3|1	3|1
chr9	50000000	52300000	2|2	3|3	3|3
chr9	52300000	55340000	2|2	2|3	2|3
chr9	55340000	56360000	4|2	4|3	4|3
chr9	56360000	80591000	2|2	2|3	2|3
chr9	80591000	84663000	2|3	2|4	2|4
chr9	84663000	86989000	2|3	2|4	2|5
chr9	86989000	87981000	0|3	0|4	0|5
chr9	87981000	89277000	0|3	0|4	0|4
chr9	89277000	90633000	0|2	0|3	0|3
chr9	90633000	95664000	2|2	2|3	2|3
chr9	95664000	96672000	4|2	4|3	4|3
chr9	96672000	103522000	2|2	2|3	2|3
chr9	103522000	106000000	2|0	2|0	2|0
chr9	106000000	106997000	4|0	4|0	4|0
chr9	106997000	115040000	2|0	2|0	2|0
chr9	115040000	122926000	2|2	2|3	2|3
chr9	122926000	123937000	2|2	3|3	3|3
