#CHR	START	END	clone0	clone1	clone2
chr1	0	66261000	2|2	2|0	2|2
chr1	66261000	69340000	2|2	2|0	3|2
chr1	69340000	79506000	2|2	2|0	2|2
chr1	79506000	80515000	2|3	2|0	2|3
chr1	80515000	87964000	2|2	2|0	2|2
chr1	87964000	88967000	2|2	2|0	2|1
chr1	88967000	108482000	2|2	2|0	2|2
chr1	108482000	109639000	2|0	2|0	2|0
chr1	109639000	110642000	1|0	1|0	1|0
chr1	110642000	112055000	2|0	2|0	2|0
chr1	112055000	135179000	2|2	2|0	2|2
chr1	135179000	136191000	2|3	2|0	2|3
chr1	136191000	136999000	2|2	2|0	2|2
chr1	136999000	140211000	2|2	3|0	2|2
chr1	140211000	142859000	2|2	2|0	2|2
chr1	142859000	143857000	2|2	2|0	2|1
chr1	143857000	170633000	2|2	2|0	2|2
chr1	170633000	171625000	3|2	3|0	3|2
chr1	171625000	179040000	2|2	2|0	2|2
chr1	179040000	182198000	1|2	1|0	1|2
chr1	182198000	201376000	2|2	2|0	2|2
chr1	201376000	221357000	2|1	2|0	2|1
chr1	221357000	223948000	2|2	2|0	2|2
chr1	223948000	247487000	2|2	2|0	3|2
chr1	247487000	249250621	2|2	2|0	2|2
chr2	0	579000	2|2	2|2	2|1
chr2	579000	2018000	2|2	2|2	3|1
chr2	2018000	3794000	0|2	0|2	0|1
chr2	3794000	5362000	2|2	2|2	3|1
chr2	5362000	6792000	2|2	2|2	2|1
chr2	6792000	7792000	2|1	2|1	2|0
chr2	7792000	17689000	2|2	2|2	2|1
chr2	17689000	18693000	2|2	2|2	2|0
chr2	18693000	20545000	2|2	2|2	2|1
chr2	20545000	23097000	2|2	1|2	2|1
chr2	23097000	58423000	2|2	2|2	2|1
chr2	58423000	59437000	2|2	1|2	2|1
chr2	59437000	64655000	2|2	2|2	2|1
chr2	64655000	65645000	2|2	2|1	2|1
chr2	65645000	79179000	2|2	2|2	2|1
chr2	79179000	80191000	2|2	2|3	2|1
chr2	80191000	100729000	2|2	2|2	2|1
chr2	100729000	102862000	2|2	2|2	1|1
chr2	102862000	109632000	2|2	2|2	2|1
chr2	109632000	119409000	2|2	3|2	2|1
chr2	119409000	124146000	2|2	2|2	2|1
chr2	124146000	126405000	2|1	2|1	2|0
chr2	126405000	135039000	2|2	2|2	2|1
chr2	135039000	145426000	0|2	0|2	0|1
chr2	145426000	165646000	2|2	2|2	2|1
chr2	165646000	169204000	2|2	3|2	2|1
