#CHR	START	END	clone0	clone1
chr1	0	21487000	2|2	2|2
chr1	21487000	24748000	1|2	1|2
chr1	24748000	37654000	2|2	2|2
chr1	37654000	40250000	2|2	2|1
chr1	40250000	42549000	2|2	2|2
chr1	42549000	44151000	2|2	1|2
chr1	44151000	50502000	0|2	0|2
chr1	50502000	50926000	0|0	0|0
chr1	50926000	58765000	2|0	1|0
chr1	58765000	61094000	2|0	2|0
chr1	61094000	103954000	2|2	2|2
chr1	103954000	104965000	0|2	0|2
chr1	104965000	126720000	2|2	2|2
chr1	126720000	127720000	0|2	0|2
chr1	127720000	155478000	2|2	2|2
chr1	155478000	162348000	2|1	2|1
chr1	162348000	163172000	2|2	2|2
chr1	163172000	166032000	2|0	2|0
chr1	166032000	173303000	2|2	2|2
chr1	173303000	174323000	2|3	2|3
chr1	174323000	190248000	2|2	2|2
chr1	190248000	192680000	0|2	0|2
chr1	192680000	198811000	2|2	2|2
chr1	198811000	202300000	2|2	1|2
chr1	202300000	223570000	2|2	2|2
chr1	223570000	224571000	0|2	0|2
chr1	224571000	228773000	2|2	2|2
chr1	228773000	232263000	0|2	0|2
chr1	232263000	235334000	2|2	2|2
chr1	235334000	246304000	2|2	2|1
chr1	246304000	249250621	2|2	2|2
chr2	0	10287000	0|2	0|2
chr2	10287000	21125000	0|2	0|3
chr2	21125000	101188000	0|2	0|2
chr2	101188000	102195000	0|2	0|1
chr2	102195000	109974000	0|2	0|2
chr2	109974000	110966000	0|1	0|1
chr2	110966000	154924000	0|2	0|2
chr2	154924000	164984000	0|4	0|4
chr2	164984000	166609000	0|2	0|2
chr2	166609000	168667000	0|0	0|0
chr2	168667000	243199373	0|2	0|2
chr3	0	99012000	0|0	0|0
chr3	99012000	198022430	2|0	2|0
chr4	0	50817000	0|2	0|2
chr4	50817000	53900000	0|2	0|1
chr4	53900000	56148000	0|2	0|2
chr4	56148000	57713000	0|2	0|3
chr4	57713000	58528000	0|1	0|2
chr4	58528000	61372000	0|1	0|1
chr4	61372000	64594000	0|2	0|2
chr4	64594000	65566000	0|2	0|3
chr4	65566000	93424000	0|2	0|2
chr4	93424000	95577000	0|0	0|0
chr4	95577000	101623000	2|0	2|0
chr4	101623000	111534000	2|2	2|2
chr4	111534000	113534000	3|2	3|2
chr4	113534000	115395000	3|2	4|2
chr4	115395000	116004000	3|2	3|2
chr4	116004000	118563000	3|2	2|2
chr4	118563000	122877000	3|2	3|2
chr4	122877000	141361000	2|2	2|2
chr4	141361000	144647000	1|2	1|2
chr4	144647000	144717000	3|2	3|2
chr4	144717000	190047000	4|2	4|2
chr4	190047000	191035000	4|2	5|2
chr4	191035000	191154276	4|2	4|2
chr5	0	3813000	2|2	2|2
chr5	3813000	14249000	2|2	2|3
chr5	14249000	16061000	2|2	2|2
chr5	16061000	17055000	2|0	2|0
chr5	17055000	26473000	2|2	2|2
chr5	26473000	29200000	2|2	2|3
chr5	29200000	31456000	3|2	3|3
chr5	31456000	31911000	3|2	3|4
chr5	31911000	34452000	2|2	2|4
chr5	34452000	53484000	2|2	2|3
chr5	53484000	57244000	0|2	0|3
chr5	57244000	79925000	2|2	2|3
chr5	79925000	87382000	2|2	2|2
chr5	87382000	89999000	2|2	2|3
chr5	89999000	93602000	2|1	2|1
