#CHR	START	END	clone0	clone1	clone2
chr1	0	16022000	2|2	0|2	2|2
chr1	16022000	18667000	2|0	0|0	2|0
chr1	18667000	41495000	2|2	0|2	2|2
chr1	41495000	42485000	2|2	0|1	2|2
chr1	42485000	49088000	2|2	0|2	2|2
chr1	49088000	49157000	4|2	0|2	4|2
chr1	49157000	50090000	4|0	0|0	4|0
chr1	50090000	52141000	2|0	0|0	2|0
chr1	52141000	55929000	2|2	0|2	2|2
chr1	55929000	56932000	2|2	0|1	2|2
chr1	56932000	63783000	2|2	0|2	2|2
chr1	63783000	68929000	2|2	0|2	3|2
chr1	68929000	72468000	0|2	0|2	0|2
chr1	72468000	72753000	2|2	0|2	3|2
chr1	72753000	74681000	4|2	0|2	5|2
chr1	74681000	75303000	4|2	0|2	4|2
chr1	75303000	87646000	2|2	0|2	2|2
chr1	87646000	90879000	4|2	0|2	4|2
chr1	90879000	90983000	2|2	0|2	2|2
chr1	90983000	99046000	2|4	0|4	2|4
chr1	99046000	115913000	2|2	0|2	2|2
chr1	115913000	125164000	2|2	0|2	2|3
chr1	125164000	136635000	2|2	0|2	2|2
chr1	136635000	145323000	4|2	0|2	4|2
chr1	145323000	146312000	4|2	0|2	4|3
chr1	146312000	154968000	4|2	0|2	4|2
chr1	154968000	161918000	2|2	0|2	2|2
chr1	161918000	164942000	2|2	0|2	2|3
chr1	164942000	167452000	2|2	0|2	2|2
chr1	167452000	170491000	2|0	0|0	2|0
chr1	170491000	176574000	2|2	0|2	2|2
chr1	176574000	179247000	2|0	0|0	2|0
chr1	179247000	190545000	2|2	0|2	2|2
chr1	190545000	197084000	2|2	0|3	2|2
chr1	197084000	198423000	2|2	0|3	1|2
chr1	198423000	199812000	2|2	0|2	1|2
chr1	199812000	222667000	2|2	0|2	2|2
chr1	222667000	233193000	2|0	0|0	2|0
chr1	233193000	244622000	2|2	0|2	2|2
chr1	244622000	245635000	2|2	0|2	2|3
chr1	245635000	249250621	2|2	0|2	2|2
chr2	0	4242000	2|2	2|2	2|2
chr2	4242000	17583000	2|0	2|0	2|0
chr2	17583000	22275000	2|2	2|2	2|2
chr2	22275000	23274000	2|2	2|2	3|2
chr2	23274000	25772000	2|2	2|2	2|2
chr2	25772000	26429000	2|2	2|2	2|1
chr2	26429000	26784000	2|4	2|4	2|3
chr2	26784000	26997000	2|4	2|4	2|4
chr2	26997000	39297000	2|0	2|0	2|0
chr2	39297000	39732000	4|0	4|0	4|0
chr2	39732000	39990000	4|4	4|4	4|4
chr2	39990000	40983000	4|4	3|4	4|4
chr2	40983000	42641000	4|4	4|4	4|4
chr2	42641000	51109000	2|4	2|4	2|4
chr2	51109000	52026000	2|2	2|2	2|2
chr2	52026000	64056000	2|0	2|0	2|0
chr2	64056000	64357000	2|0	2|0	1|0
chr2	64357000	65061000	2|2	2|2	1|2
chr2	65061000	69298000	2|2	2|2	2|2
chr2	69298000	70051000	2|2	2|2	2|1
chr2	70051000	70310000	2|2	2|2	3|1
chr2	70310000	71063000	2|2	2|2	3|2
chr2	71063000	71259000	2|2	2|2	2|2
chr2	71259000	72281000	2|2	2|2	2|1
chr2	72281000	74711000	2|2	2|2	2|2
chr2	74711000	76189000	2|2	2|2	2|1
chr2	76189000	82271000	2|2	2|2	2|2
chr2	82271000	85786000	2|2	2|2	2|3
chr2	85786000	86343000	2|2	2|2	2|2
chr2	86343000	87345000	2|2	1|2	2|2
chr2	87345000	91408000	2|2	2|2	2|2
chr2	91408000	94785000	0|2	0|2	0|2
chr2	94785000	99099000	2|2	2|2	2|2
chr2	99099000	100106000	2|2	2|2	2|1
chr2	100106000	120742000	2|2	2|2	2|2
chr2	120742000	124021000	2|2	3|2	2|2
chr2	124021000	124375000	2|2	2|2	2|2
chr2	124375000	125559000	2|2	4|2	2|2
chr2	125559000	126971000	2|2	3|2	2|2
chr2	126971000	129472000	2|2	1|2	2|2
chr2	129472000	135444000	2|0	1|0	2|0
chr2	135444000	136615000	4|0	3|0	4|0
chr2	136615000	137189000	4|0	4|0	4|0
chr2	137189000	138121000	4|2	4|2	4|2
chr2	138121000	139620000	2|2	2|2	2|2
chr2	139620000	141125000	2|4	2|4	2|4
chr2	141125000	148557000	2|2	2|2	2|2
chr2	148557000	149257000	2|2	2|1	2|2
chr2	149257000	149562000	2|2	1|1	2|2
chr2	149562000	157498000	2|2	1|2	2|2
chr2	157498000	160708000	2|2	1|3	2|2
chr2	160708000	168269000	2|2	1|2	2|2
chr2	168269000	170144000	2|0	1|0	2|0
chr2	170144000	172295000	2|0	2|0	2|0
chr2	172295000	175446000	0|0	0|0	0|0
chr2	175446000	178114000	2|0	2|0	2|0
chr2	178114000	183332000	2|2	2|2	2|2
chr2	183332000	185468000	2|2	2|2	3|2
chr2	185468000	186479000	2|2	2|2	4|2
chr2	186479000	186987000	2|2	2|2	3|2
chr2	186987000	187618000	2|2	2|2	2|2
chr2	187618000	188354000	2|6	2|7	2|6
chr2	188354000	188463000	2|6	2|8	2|6
chr2	188463000	189259000	2|6	2|7	2|6
chr2	189259000	190343000	2|8	2|10	2|8
chr2	190343000	191453000	2|4	2|5	2|4
chr2	191453000	192445000	2|4	2|4	2|4
chr2	192445000	193504000	2|4	2|5	2|4
chr2	193504000	194503000	2|4	2|4	2|4
chr2	194503000	195423000	2|4	2|5	2|4
chr2	195423000	195865000	2|4	2|5	2|3
chr2	195865000	207174000	2|2	2|2	2|1
chr2	207174000	207704000	2|2	1|2	2|1
chr2	207704000	208183000	4|2	3|2	4|1
chr2	208183000	214560000	4|2	4|2	4|1
chr2	214560000	215316000	4|2	4|2	4|2
chr2	215316000	216253000	4|2	5|2	4|2
chr2	216253000	216907000	4|2	4|2	4|2
chr2	216907000	217277000	2|2	2|2	2|2
chr2	217277000	217513000	2|2	3|2	2|2
chr2	217513000	218367000	2|2	2|2	2|2
chr2	218367000	221094000	2|2	1|2	2|2
chr2	221094000	221154000	2|2	2|2	2|2
chr2	221154000	222151000	2|2	2|1	2|2
