#CHR	START	END	clone0	clone1	clone2
chr1	0	1962000	2|4	2|4	2|4
chr1	1962000	5131000	2|3	2|3	2|3
chr1	5131000	6130000	2|3	2|3	2|4
chr1	6130000	18753000	2|3	2|3	2|3
chr1	18753000	21533000	1|3	1|3	1|3
chr1	21533000	80616000	2|3	2|3	2|3
chr1	80616000	81602000	2|3	2|3	2|4
chr1	81602000	83508000	2|3	2|3	2|3
chr1	83508000	84083000	2|3	2|3	3|3
chr1	84083000	84499000	2|3	2|3	3|4
chr1	84499000	88090000	2|3	2|3	2|4
chr1	88090000	100871000	2|3	2|3	2|3
chr1	100871000	102122000	2|4	2|4	2|4
chr1	102122000	102519000	2|4	2|3	2|3
chr1	102519000	103130000	2|3	2|2	2|2
chr1	103130000	113893000	2|3	2|3	2|3
chr1	113893000	114893000	4|3	4|3	4|3
chr1	114893000	125211000	2|3	2|3	2|3
chr1	125211000	126214000	2|3	2|4	2|4
chr1	126214000	128914000	2|3	2|3	2|3
chr1	128914000	129910000	4|3	4|3	4|3
chr1	129910000	138071000	2|3	2|3	2|3
chr1	138071000	139080000	2|3	2|3	2|4
chr1	139080000	140732000	2|3	2|3	2|3
chr1	140732000	141738000	2|3	2|3	3|3
chr1	141738000	166009000	2|3	2|3	2|3
chr1	166009000	168791000	2|3	1|3	1|3
chr1	168791000	205010000	2|3	2|3	2|3
chr1	205010000	206024000	2|3	3|3	3|3
chr1	206024000	226593000	2|3	2|3	2|3
chr1	226593000	226714000	2|3	2|3	2|4
chr1	226714000	228004000	2|3	2|3	2|5
chr1	228004000	229183000	2|4	2|4	2|6
chr1	229183000	229982000	2|4	2|4	2|5
chr1	229982000	230279000	2|4	2|4	2|4
chr1	230279000	237030000	2|3	2|3	2|3
chr1	237030000	246184000	2|3	3|3	3|3
chr1	246184000	249250621	2|3	2|3	2|3
chr2	0	501000	2|2	2|2	2|1
chr2	501000	14168000	2|2	2|2	2|2
chr2	14168000	15167000	3|2	3|2	3|2
chr2	15167000	26718000	2|2	2|2	2|2
chr2	26718000	27711000	2|4	2|4	2|4
chr2	27711000	29742000	2|2	2|2	2|2
chr2	29742000	33410000	2|3	2|3	2|3
chr2	33410000	34424000	2|3	2|4	2|4
chr2	34424000	39764000	2|3	2|3	2|3
chr2	39764000	48935000	2|2	2|2	2|2
chr2	48935000	52230000	2|0	2|0	2|0
