#CHR	START	END	clone0	clone1
chr1	0	5014000	1|2	1|2
chr1	5014000	6920000	1|2	1|3
chr1	6920000	14322000	0|2	0|3
chr1	14322000	15009000	0|2	0|2
chr1	15009000	60846000	1|2	1|2
chr1	60846000	61843000	0|2	0|2
chr1	61843000	66062000	1|2	1|2
chr1	66062000	68895000	1|2	0|2
chr1	68895000	71663000	1|2	1|2
chr1	71663000	92839000	0|2	0|2
chr1	92839000	139884000	1|2	1|2
chr1	139884000	140882000	1|2	1|1
chr1	140882000	143422000	1|2	1|2
chr1	143422000	153256000	2|2	2|2
chr1	153256000	166107000	1|2	1|2
chr1	166107000	169633000	1|2	1|3
chr1	169633000	182657000	1|2	1|2
chr1	182657000	183657000	2|2	2|2
chr1	183657000	185327000	1|2	1|2
chr1	185327000	185526000	1|2	2|2
chr1	185526000	185949000	1|2	3|2
chr1	185949000	188057000	0|2	0|2
chr1	188057000	191676000	1|2	3|2
chr1	191676000	194212000	1|0	3|0
chr1	194212000	194446000	1|2	3|2
chr1	194446000	210360000	1|2	2|2
chr1	210360000	215880000	1|2	1|2
chr1	215880000	218798000	2|2	2|2
chr1	218798000	224504000	1|2	1|2
chr1	224504000	225507000	0|2	0|2
chr1	225507000	227939000	1|2	1|2
chr1	227939000	231166000	2|2	2|2
chr1	231166000	248750000	1|2	1|2
chr1	248750000	249250621	2|2	2|2
chr2	0	27481000	2|2	2|0
chr2	27481000	28488000	2|2	1|0
chr2	28488000	97064000	2|2	2|0
chr2	97064000	98067000	2|2	3|0
chr2	98067000	141802000	2|2	2|0
chr2	141802000	142809000	3|2	3|0
chr2	142809000	192078000	2|2	2|0
chr2	192078000	194136000	2|3	2|0
chr2	194136000	243199373	2|2	2|0
chr3	0	498000	3|2	4|1
chr3	498000	26254000	1|2	2|1
chr3	26254000	27261000	1|2	3|1
chr3	27261000	44757000	1|2	2|1
chr3	44757000	56825000	1|2	2|2
chr3	56825000	65051000	1|2	2|1
chr3	65051000	68493000	1|2	2|2
chr3	68493000	87669000	1|2	2|1
chr3	87669000	90902000	1|2	1|1
chr3	90902000	95905000	1|2	2|1
chr3	95905000	97290000	1|2	3|1
chr3	97290000	98757000	1|2	3|0
chr3	98757000	99011000	2|2	4|0
chr3	99011000	99015000	2|0	4|0
chr3	99015000	135053000	2|0	3|0
chr3	135053000	143569000	3|0	5|0
chr3	143569000	144187000	3|0	4|0
chr3	144187000	150780000	2|0	2|0
chr3	150780000	159680000	2|0	3|0
chr3	159680000	171348000	2|0	2|0
chr3	171348000	172354000	0|0	0|0
chr3	172354000	198022430	2|0	2|0
chr4	0	92487000	2|0	0|0
chr4	92487000	95655000	4|0	0|0
chr4	95655000	191154276	2|0	0|0
chr5	0	11068000	2|2	3|2
chr5	11068000	12065000	2|2	2|2
chr5	12065000	57990000	2|2	3|2
chr5	57990000	58987000	2|2	2|2
chr5	58987000	59266000	2|2	3|2
chr5	59266000	60281000	2|2	4|2
chr5	60281000	82739000	2|2	3|2
chr5	82739000	83742000	2|0	3|0
chr5	83742000	138926000	2|2	3|2
chr5	138926000	139936000	0|2	0|2
chr5	139936000	144483000	2|2	3|2
chr5	144483000	145475000	2|2	4|2
chr5	145475000	176695000	2|2	3|2
chr5	176695000	177716000	2|2	2|2
chr5	177716000	179867000	2|2	3|2
chr5	179867000	180419000	2|0	3|0
chr5	180419000	180871000	2|0	4|0
chr5	180871000	180915260	2|2	4|2
chr6	0	7234000	2|2	2|2
chr6	7234000	8226000	2|1	2|1
chr6	8226000	38031000	2|2	2|2
chr6	38031000	41040000	2|2	1|2
chr6	41040000	85557000	2|2	2|2
chr6	85557000	96122000	4|2	4|2
chr6	96122000	97123000	2|2	2|2
chr6	97123000	120096000	4|2	4|2
chr6	120096000	121111000	4|2	3|2
chr6	121111000	146279000	4|2	4|2
chr6	146279000	147273000	4|2	5|2
chr6	147273000	171115067	4|2	4|2
chr7	0	13890000	2|2	2|2
chr7	13890000	14875000	2|4	2|4
chr7	14875000	34711000	2|2	2|2
chr7	34711000	43632000	2|1	2|1
chr7	43632000	51662000	2|2	2|2
chr7	51662000	64554000	2|2	1|2
chr7	64554000	153707000	2|2	2|2
chr7	153707000	154708000	2|3	2|3
chr7	154708000	159138663	2|2	2|2
chr8	0	1870000	2|2	0|2
chr8	1870000	7867000	2|2	1|2
chr8	7867000	11400000	3|2	2|2
