#CHR	START	END	clone0	clone1	clone2
chr1	0	10639000	2|2	2|2	2|2
chr1	10639000	11629000	2|2	2|2	3|2
chr1	11629000	12895000	2|2	2|2	2|2
chr1	12895000	13824000	2|2	2|2	2|1
chr1	13824000	14279000	2|2	3|2	2|1
chr1	14279000	14849000	3|2	4|2	3|1
chr1	14849000	17309000	3|2	3|2	3|1
chr1	17309000	18245000	3|2	3|2	3|2
chr1	18245000	27291000	2|2	2|2	2|2
chr1	27291000	30503000	2|2	2|2	2|3
chr1	30503000	34991000	2|3	2|3	2|5
chr1	34991000	35065000	2|3	2|3	1|5
chr1	35065000	36060000	2|0	2|0	1|0
chr1	36060000	36983000	2|3	2|3	1|5
chr1	36983000	37165000	2|3	2|3	2|5
chr1	37165000	41447000	2|3	2|3	2|4
chr1	41447000	51272000	2|2	2|2	2|2
chr1	51272000	52272000	2|1	2|1	2|1
chr1	52272000	66275000	2|2	2|2	2|2
chr1	66275000	73684000	2|2	2|2	2|1
chr1	73684000	74397000	2|2	2|2	2|2
chr1	74397000	76821000	2|2	3|2	2|2
chr1	76821000	79909000	2|2	2|2	2|2
chr1	79909000	80913000	4|2	4|2	4|2
chr1	80913000	81638000	2|2	2|2	2|2
chr1	81638000	83260000	2|0	2|0	2|0
chr1	83260000	84104000	2|0	2|0	1|0
chr1	84104000	85130000	2|2	2|2	1|2
chr1	85130000	86117000	2|2	2|2	1|3
chr1	86117000	88607000	2|2	2|2	2|3
chr1	88607000	91281000	2|2	1|2	2|3
chr1	91281000	96016000	2|2	2|2	2|3
chr1	96016000	106537000	2|2	2|2	2|2
chr1	106537000	107537000	2|2	2|2	2|3
chr1	107537000	115961000	2|2	2|2	2|2
chr1	115961000	116519000	2|2	3|2	2|2
chr1	116519000	117979000	2|0	3|0	2|0
chr1	117979000	119593000	2|0	2|0	2|0
chr1	119593000	119907000	2|2	2|2	2|2
chr1	119907000	120845000	2|2	2|1	2|2
chr1	120845000	121830000	2|2	3|1	2|2
chr1	121830000	122022000	2|2	2|1	2|2
chr1	122022000	126151000	2|2	2|2	2|2
chr1	126151000	128738000	0|2	0|2	0|2
chr1	128738000	139714000	2|2	2|2	2|2
chr1	139714000	142593000	2|2	2|2	2|3
chr1	142593000	149757000	2|2	1|2	2|3
chr1	149757000	151409000	2|2	1|2	2|2
chr1	151409000	152424000	2|2	2|2	2|2
chr1	152424000	153498000	2|2	1|2	2|2
chr1	153498000	153853000	2|2	1|2	2|3
chr1	153853000	156895000	2|2	2|2	2|3
chr1	156895000	157884000	2|2	2|2	1|3
chr1	157884000	161211000	2|2	2|2	2|3
chr1	161211000	166819000	2|2	2|2	2|2
chr1	166819000	167825000	2|2	2|2	2|3
chr1	167825000	178645000	2|2	2|2	2|2
chr1	178645000	188593000	2|2	2|2	3|2
chr1	188593000	192573000	2|2	2|2	2|2
chr1	192573000	193578000	2|0	2|0	2|0
chr1	193578000	210133000	2|2	2|2	2|2
chr1	210133000	222795000	2|3	2|3	2|3
chr1	222795000	225751000	2|3	2|3	1|3
chr1	225751000	226319000	2|2	2|2	1|2
chr1	226319000	245321000	2|2	2|2	2|2
chr1	245321000	247730000	2|2	3|2	2|2
chr1	247730000	249250621	2|2	2|2	2|2
chr2	0	2035000	2|2	2|2	2|2
chr2	2035000	4623000	3|2	3|2	3|2
chr2	4623000	5183000	3|2	3|2	3|3
chr2	5183000	5616000	5|2	5|2	5|3
chr2	5616000	6856000	5|2	5|2	5|2
chr2	6856000	7868000	5|2	4|2	5|2
chr2	7868000	7923000	5|2	5|2	5|2
chr2	7923000	8917000	5|2	6|2	5|2
chr2	8917000	14506000	5|2	5|2	5|2
chr2	14506000	15598000	4|2	4|2	4|2
chr2	15598000	16598000	0|2	0|2	0|2
