#CHR	START	END	clone0	clone1
chr1	0	1882000	2|2	2|2
chr1	1882000	2897000	2|1	2|1
chr1	2897000	7933000	2|2	2|2
chr1	7933000	10382000	1|2	1|2
chr1	10382000	10998000	0|2	0|2
chr1	10998000	11375000	1|2	1|2
chr1	11375000	19012000	2|2	2|2
chr1	19012000	20011000	2|2	2|3
chr1	20011000	33127000	2|2	2|2
chr1	33127000	36749000	2|2	2|3
chr1	36749000	52465000	2|2	2|2
chr1	52465000	53466000	1|2	1|2
chr1	53466000	59171000	2|2	2|2
chr1	59171000	60169000	2|2	3|2
chr1	60169000	66546000	2|2	2|2
chr1	66546000	74731000	2|4	2|4
chr1	74731000	75699000	2|4	2|3
chr1	75699000	78530000	2|2	2|1
chr1	78530000	80550000	2|2	2|2
chr1	80550000	84609000	2|1	2|1
chr1	84609000	90937000	2|2	2|2
chr1	90937000	91930000	2|2	2|3
chr1	91930000	98679000	2|2	2|2
chr1	98679000	99687000	2|2	3|2
chr1	99687000	116930000	2|2	2|2
chr1	116930000	122623000	2|2	2|3
chr1	122623000	123634000	2|2	2|4
chr1	123634000	128149000	2|2	2|3
chr1	128149000	131266000	1|2	1|3
chr1	131266000	136975000	2|2	2|3
chr1	136975000	150564000	2|2	2|2
chr1	150564000	151554000	2|3	2|3
chr1	151554000	169732000	2|2	2|2
chr1	169732000	170734000	2|1	2|1
chr1	170734000	171015000	2|2	2|2
chr1	171015000	172024000	3|2	3|2
chr1	172024000	194130000	2|2	2|2
chr1	194130000	194163000	1|2	1|2
chr1	194163000	195136000	1|4	1|4
chr1	195136000	197450000	2|4	2|4
chr1	197450000	222108000	2|2	2|2
chr1	222108000	223104000	2|2	2|3
chr1	223104000	230386000	2|2	2|2
chr1	230386000	233449000	1|2	1|2
chr1	233449000	238558000	2|2	2|2
chr1	238558000	241284000	2|2	3|2
chr1	241284000	249250621	2|2	2|2
chr2	0	5519000	2|2	2|2
chr2	5519000	6511000	2|2	2|3
chr2	6511000	23746000	2|2	2|2
chr2	23746000	24751000	2|1	2|1
chr2	24751000	48372000	2|2	2|2
chr2	48372000	50651000	3|2	3|2
chr2	50651000	57770000	2|2	2|2
