#CHR	START	END	clone0	clone1
chr1	0	14987000	2|2	2|2
chr1	14987000	16001000	2|4	2|4
chr1	16001000	82545000	2|2	2|2
chr1	82545000	84129000	0|2	0|2
chr1	84129000	112871000	2|2	2|2
chr1	112871000	119114000	4|2	4|2
chr1	119114000	122860000	2|2	2|2
chr1	122860000	123912000	0|2	0|2
chr1	123912000	132873000	0|1	0|1
chr1	132873000	141958000	0|2	0|2
chr1	141958000	163513000	0|2	0|1
chr1	163513000	219503000	0|2	0|2
chr1	219503000	220418000	0|2	0|3
chr1	220418000	222569000	0|1	0|2
chr1	222569000	223975000	0|1	0|1
chr1	223975000	249250621	0|2	0|2
chr2	0	9232000	2|2	2|2
chr2	9232000	10246000	0|2	0|2
chr2	10246000	16529000	2|2	2|2
chr2	16529000	16961000	2|2	2|1
chr2	16961000	17533000	2|2	2|2
chr2	17533000	20674000	2|2	2|3
chr2	20674000	26647000	2|2	3|3
chr2	26647000	27536000	2|2	2|3
chr2	27536000	27653000	2|2	2|2
chr2	27653000	32298000	2|2	3|2
chr2	32298000	35127000	0|2	0|2
chr2	35127000	46006000	2|2	3|2
chr2	46006000	46989000	2|2	3|1
chr2	46989000	56028000	2|2	2|1
chr2	56028000	56039000	2|2	2|2
chr2	56039000	57044000	2|2	3|2
chr2	57044000	71105000	2|2	2|2
chr2	71105000	74321000	2|4	2|4
chr2	74321000	78721000	2|2	2|2
chr2	78721000	87701000	2|2	2|1
chr2	87701000	89382000	2|2	2|2
chr2	89382000	90378000	2|2	2|1
chr2	90378000	90506000	2|2	2|2
chr2	90506000	91517000	2|4	2|4
chr2	91517000	134365000	2|2	2|2
chr2	134365000	135363000	2|2	2|3
chr2	135363000	137890000	2|2	2|2
chr2	137890000	140086000	1|2	1|2
chr2	140086000	140204000	2|2	2|2
chr2	140204000	150045000	2|0	2|0
chr2	150045000	152857000	2|2	2|2
chr2	152857000	153866000	2|2	2|1
chr2	153866000	181299000	2|2	2|2
chr2	181299000	183593000	2|0	2|0
chr2	183593000	202849000	2|2	2|2
chr2	202849000	205588000	1|2	1|2
chr2	205588000	215205000	2|2	2|2
chr2	215205000	216214000	2|2	1|2
chr2	216214000	243199373	2|2	2|2
chr3	0	9052000	2|2	2|2
chr3	9052000	12163000	4|2	4|2
chr3	12163000	12684000	4|2	4|1
chr3	12684000	13173000	2|2	2|1
chr3	13173000	66263000	2|2	2|2
chr3	66263000	67252000	0|2	0|2
chr3	67252000	87134000	2|2	2|2
chr3	87134000	89907000	2|2	2|1
chr3	89907000	107718000	2|2	2|2
chr3	107718000	120372000	2|2	2|1
chr3	120372000	129043000	2|2	2|2
chr3	129043000	135652000	0|2	0|2
chr3	135652000	138635000	0|2	0|3
chr3	138635000	140978000	0|2	0|2
chr3	140978000	146785000	2|2	2|2
chr3	146785000	147788000	2|2	1|2
chr3	147788000	184063000	2|2	2|2
chr3	184063000	192583000	2|2	2|1
chr3	192583000	198022430	2|2	2|2
chr4	0	5883000	2|0	2|0
chr4	5883000	8066000	4|0	4|0
chr4	8066000	71833000	2|0	2|0
chr4	71833000	77182000	2|0	3|0
chr4	77182000	79198000	2|0	4|0
chr4	79198000	90146000	2|0	3|0
chr4	90146000	93752000	2|0	2|0
chr4	93752000	94788000	2|2	2|2
chr4	94788000	95792000	2|2	1|2
chr4	95792000	103454000	2|2	2|2
chr4	103454000	103867000	2|2	2|1
chr4	103867000	107519000	2|0	2|0
chr4	107519000	108094000	2|2	2|1
chr4	108094000	137327000	2|2	2|2
chr4	137327000	140213000	0|2	0|2
chr4	140213000	178209000	2|2	2|2
chr4	178209000	179207000	0|2	0|2
chr4	179207000	181574000	2|2	2|2
chr4	181574000	182593000	0|2	0|2
chr4	182593000	191154276	2|2	2|2
chr5	0	14813000	2|2	0|2
chr5	14813000	32587000	2|4	0|4
chr5	32587000	33451000	4|4	0|4
chr5	33451000	33597000	4|2	0|2
chr5	33597000	49161000	2|2	0|2
chr5	49161000	52535000	2|4	0|4
chr5	52535000	56923000	2|2	0|2
chr5	56923000	78109000	2|0	0|0
chr5	78109000	96070000	2|2	0|2
chr5	96070000	97074000	2|4	0|4
chr5	97074000	97328000	2|2	0|2
chr5	97328000	98323000	0|2	0|2
chr5	98323000	101887000	2|2	0|2
chr5	101887000	105534000	2|4	0|4
chr5	105534000	121599000	2|2	0|2
chr5	121599000	124017000	3|2	0|2
chr5	124017000	136507000	2|2	0|2
chr5	136507000	137527000	2|0	0|0
chr5	137527000	137600000	2|2	0|2
chr5	137600000	138603000	2|2	0|1
chr5	138603000	149605000	2|2	0|2
chr5	149605000	150622000	2|2	0|1
chr5	150622000	161415000	2|2	0|2
chr5	161415000	163851000	2|1	0|1
chr5	163851000	180915260	2|2	0|2
chr6	0	492000	2|2	2|2
chr6	492000	1059000	2|2	1|2
chr6	1059000	2043000	3|2	1|2
chr6	2043000	12693000	2|2	1|2
chr6	12693000	13702000	2|2	1|1
chr6	13702000	30294000	2|2	1|2
chr6	30294000	31277000	2|2	1|3
chr6	31277000	41286000	2|2	1|2
chr6	41286000	42276000	2|0	1|0
chr6	42276000	44540000	2|2	1|2
chr6	44540000	45553000	2|2	1|1
chr6	45553000	49211000	2|2	1|2
chr6	49211000	52815000	2|2	1|1
chr6	52815000	66029000	2|2	1|2
chr6	66029000	67011000	2|0	1|0
chr6	67011000	111788000	2|2	1|2
chr6	111788000	112775000	2|0	1|0
chr6	112775000	138151000	2|2	1|2
chr6	138151000	141548000	0|2	0|2
chr6	141548000	155734000	2|2	1|2
chr6	155734000	158211000	0|2	0|2
chr6	158211000	171115067	2|2	1|2
chr7	0	11950000	2|2	2|3
chr7	11950000	12957000	2|0	2|0
chr7	12957000	22033000	2|2	2|3
chr7	22033000	38220000	2|2	2|2
chr7	38220000	40751000	1|2	1|2
chr7	40751000	50807000	2|2	2|2
chr7	50807000	51807000	2|2	1|2
chr7	51807000	57876000	2|2	2|2
chr7	57876000	60190000	2|2	2|3
chr7	60190000	61654000	2|2	2|2
chr7	61654000	65178000	2|0	2|0
chr7	65178000	70461000	2|2	2|2
chr7	70461000	71458000	0|2	0|2
chr7	71458000	72307000	2|2	2|2
chr7	72307000	73974000	2|2	2|3
chr7	73974000	81382000	2|2	2|2
chr7	81382000	84253000	2|2	2|3
chr7	84253000	92428000	2|2	2|2
chr7	92428000	93431000	2|0	2|0
chr7	93431000	97037000	2|2	2|2
chr7	97037000	99086000	4|2	4|2
chr7	99086000	100076000	4|2	3|2
chr7	100076000	100735000	4|2	4|2
chr7	100735000	117003000	2|2	2|2
chr7	117003000	120245000	2|4	2|4
chr7	120245000	127110000	2|2	2|2
chr7	127110000	130566000	2|4	2|4
chr7	130566000	131127000	2|4	3|4
chr7	131127000	133662000	2|2	3|2
chr7	133662000	134782000	2|2	2|2
chr7	134782000	140208000	4|2	4|2
chr7	140208000	141207000	4|2	4|1
chr7	141207000	141456000	4|2	4|2
