#CHR	START	END	clone0	clone1
chr1	0	5310000	2|2	2|0
chr1	5310000	7303000	2|0	2|0
chr1	7303000	17126000	2|2	2|0
chr1	17126000	25768000	2|1	2|0
chr1	25768000	28439000	1|1	1|0
chr1	28439000	36039000	1|0	1|0
chr1	36039000	40406000	2|0	2|0
chr1	40406000	45556000	2|1	2|0
chr1	45556000	48478000	2|1	1|0
chr1	48478000	71976000	2|1	2|0
chr1	71976000	72964000	2|1	1|0
chr1	72964000	94839000	2|1	2|0
chr1	94839000	97155000	3|1	3|0
chr1	97155000	99676000	1|1	1|0
chr1	99676000	100140000	1|0	1|0
chr1	100140000	100155000	3|0	3|0
chr1	100155000	101877000	2|0	2|0
chr1	101877000	102885000	1|0	1|0
chr1	102885000	103205000	2|0	2|0
chr1	103205000	105580000	2|1	2|0
chr1	105580000	106580000	2|1	3|0
chr1	106580000	120021000	2|1	2|0
chr1	120021000	131868000	2|1	1|0
chr1	131868000	132691000	2|1	2|0
chr1	132691000	134693000	1|1	1|0
chr1	134693000	145543000	2|1	2|0
chr1	145543000	148831000	2|0	2|0
chr1	148831000	193248000	2|1	2|0
chr1	193248000	195806000	2|0	2|0
chr1	195806000	196159000	2|0	1|0
chr1	196159000	198463000	2|1	1|0
chr1	198463000	213159000	2|1	2|0
chr1	213159000	216416000	2|1	3|0
chr1	216416000	225018000	2|1	4|0
chr1	225018000	226501000	2|1	3|0
chr1	226501000	249250621	2|1	2|0
chr2	0	9421000	2|2	2|2
chr2	9421000	9723000	3|2	2|2
chr2	9723000	10421000	3|2	1|2
chr2	10421000	17198000	2|2	1|2
chr2	17198000	21015000	2|2	2|2
chr2	21015000	24076000	2|2	1|2
chr2	24076000	25576000	2|2	2|2
chr2	25576000	28156000	1|2	1|2
chr2	28156000	49436000	2|2	2|2
chr2	49436000	53029000	2|2	2|3
chr2	53029000	72132000	2|2	2|2
chr2	72132000	75045000	2|2	2|1
chr2	75045000	80990000	2|2	2|2
chr2	80990000	81983000	2|2	2|1
chr2	81983000	81984000	3|2	3|1
chr2	81984000	89918000	3|2	3|2
chr2	89918000	90973000	2|2	2|2
chr2	90973000	93064000	1|2	1|2
chr2	93064000	104042000	2|2	2|2
chr2	104042000	109225000	3|2	3|2
chr2	109225000	112703000	3|1	3|1
chr2	112703000	125296000	3|2	3|2
chr2	125296000	128402000	2|2	2|2
chr2	128402000	130198000	2|2	2|3
chr2	130198000	131054000	2|2	3|3
chr2	131054000	144702000	2|2	3|2
chr2	144702000	145399000	2|3	3|3
chr2	145399000	147818000	2|3	2|3
chr2	147818000	150203000	2|2	2|2
chr2	150203000	153462000	2|2	2|1
chr2	153462000	159346000	2|2	2|2
chr2	159346000	160358000	2|2	2|1
chr2	160358000	162199000	2|2	2|2
chr2	162199000	162376000	3|2	3|2
chr2	162376000	171733000	3|2	3|1
chr2	171733000	171849000	3|2	3|2
chr2	171849000	172860000	3|2	2|2
chr2	172860000	172982000	3|2	3|2
chr2	172982000	175169000	3|3	3|3
chr2	175169000	176237000	3|3	3|2
chr2	176237000	176970000	3|3	3|3
chr2	176970000	178389000	3|2	3|2
chr2	178389000	187379000	2|2	2|2
chr2	187379000	191527000	2|3	2|3
chr2	191527000	198753000	2|2	2|2
chr2	198753000	215935000	2|2	2|1
chr2	215935000	220644000	2|3	2|2
chr2	220644000	221341000	2|3	2|3
chr2	221341000	226941000	2|3	2|4
chr2	226941000	229743000	2|2	2|3
chr2	229743000	243199373	2|2	2|2
chr3	0	1519000	2|2	2|2
chr3	1519000	7061000	1|2	1|2
chr3	7061000	13636000	1|1	1|1
chr3	13636000	14656000	0|1	0|1
chr3	14656000	19126000	1|1	1|1
chr3	19126000	45317000	1|2	1|2
chr3	45317000	46315000	1|2	1|3
chr3	46315000	55966000	1|2	1|2
chr3	55966000	56259000	1|2	1|3
chr3	56259000	60182000	1|2	1|1
chr3	60182000	64531000	1|2	1|3
chr3	64531000	65480000	1|2	1|2
chr3	65480000	66475000	1|2	1|1
chr3	66475000	66531000	1|2	1|2
chr3	66531000	69548000	1|2	1|3
chr3	69548000	71258000	1|2	1|2
chr3	71258000	86059000	1|2	1|1
chr3	86059000	90333000	1|3	1|2
chr3	90333000	98390000	1|3	1|3
chr3	98390000	125409000	1|2	1|2
chr3	125409000	126415000	1|2	1|3
chr3	126415000	164879000	1|2	1|2
chr3	164879000	169501000	1|2	2|2
