#CHR	START	END	clone0	clone1
chr1	0	4800000	2|4	2|7
chr1	4800000	10747000	2|4	2|6
chr1	10747000	12895000	2|0	2|0
chr1	12895000	16455000	2|4	2|6
chr1	16455000	18645000	0|4	0|6
chr1	18645000	19494000	2|4	2|6
chr1	19494000	20507000	2|4	2|5
chr1	20507000	30339000	2|4	2|6
chr1	30339000	33971000	2|4	3|6
chr1	33971000	49557000	2|4	2|6
chr1	49557000	50567000	2|4	2|7
chr1	50567000	52885000	2|4	2|6
chr1	52885000	55176000	2|4	2|8
chr1	55176000	66607000	2|4	2|6
chr1	66607000	67012000	4|4	4|6
chr1	67012000	67609000	4|0	4|0
chr1	67609000	68016000	2|0	2|0
chr1	68016000	99294000	2|4	2|6
chr1	99294000	101654000	2|4	2|8
chr1	101654000	104261000	2|4	2|6
chr1	104261000	104291000	2|3	2|4
chr1	104291000	105273000	2|3	2|5
chr1	105273000	116062000	2|3	2|4
chr1	116062000	117319000	2|4	2|6
chr1	117319000	118327000	2|8	2|12
chr1	118327000	127626000	2|4	2|6
chr1	127626000	148135000	2|2	2|3
chr1	148135000	151506000	2|2	1|3
chr1	151506000	176075000	2|2	2|3
chr1	176075000	187306000	2|2	2|2
chr1	187306000	192243000	2|2	2|3
chr1	192243000	192920000	2|4	2|7
chr1	192920000	195368000	2|4	2|8
chr1	195368000	195461000	2|4	2|7
chr1	195461000	195766000	2|4	2|6
chr1	195766000	196100000	2|4	2|7
chr1	196100000	249250621	2|2	2|3
chr2	0	304000	2|2	2|2
chr2	304000	70935000	2|2	3|2
chr2	70935000	72893000	3|2	4|2
chr2	72893000	91024000	2|2	3|2
chr2	91024000	98781000	4|2	6|2
chr2	98781000	100175000	6|2	9|2
chr2	100175000	101597000	4|2	6|2
chr2	101597000	103366000	4|3	6|3
chr2	103366000	105050000	4|3	5|3
chr2	105050000	109236000	4|2	5|2
chr2	109236000	110240000	4|2	4|2
chr2	110240000	114611000	4|2	5|2
chr2	114611000	117755000	4|2	6|2
chr2	117755000	118674000	4|4	6|4
chr2	118674000	121762000	2|4	3|4
chr2	121762000	152019000	2|2	3|2
chr2	152019000	153027000	2|2	2|2
chr2	153027000	192833000	2|2	3|2
chr2	192833000	193822000	2|2	3|3
chr2	193822000	196032000	2|2	3|2
chr2	196032000	207192000	2|2	4|2
chr2	207192000	227104000	2|2	3|2
chr2	227104000	228119000	2|3	3|3
chr2	228119000	242220000	2|2	3|2
chr2	242220000	242500000	2|2	4|2
chr2	242500000	243199373	2|2	3|2
chr3	0	505000	2|4	5|4
chr3	505000	2051000	2|4	4|4
chr3	2051000	3055000	2|4	4|3
chr3	3055000	34193000	2|4	4|4
chr3	34193000	34617000	2|4	3|4
chr3	34617000	35192000	2|6	3|6
chr3	35192000	38655000	2|6	4|6
