#CHR	START	END	clone0	clone1
chr1	0	4371000	2|2	0|0
chr1	4371000	7300000	2|2	0|1
chr1	7300000	42897000	2|2	1|1
chr1	42897000	46395000	1|2	1|1
chr1	46395000	60505000	2|2	1|1
chr1	60505000	66230000	1|2	0|1
chr1	66230000	70004000	1|2	0|2
chr1	70004000	73464000	0|2	0|2
chr1	73464000	73982000	1|2	1|2
chr1	73982000	77614000	1|2	1|1
chr1	77614000	79824000	3|2	2|1
chr1	79824000	79935000	4|2	2|1
chr1	79935000	96875000	2|2	1|1
chr1	96875000	100114000	3|2	2|1
chr1	100114000	124857000	2|2	1|1
chr1	124857000	126484000	3|2	1|1
chr1	126484000	127472000	3|1	1|1
chr1	127472000	128671000	3|2	1|1
chr1	128671000	191303000	2|2	1|1
chr1	191303000	193795000	3|2	2|1
chr1	193795000	199771000	2|2	1|1
chr1	199771000	202189000	2|4	1|2
chr1	202189000	233810000	2|2	1|1
chr1	233810000	234824000	2|2	0|1
chr1	234824000	245166000	2|2	1|1
chr1	245166000	247119000	2|2	2|1
chr1	247119000	249250621	2|2	1|1
chr2	0	8154000	2|2	2|2
chr2	8154000	9153000	2|2	3|2
chr2	9153000	10827000	2|2	2|2
chr2	10827000	11846000	2|2	3|2
chr2	11846000	24169000	2|2	2|2
chr2	24169000	28296000	2|2	2|3
chr2	28296000	32418000	2|2	2|2
chr2	32418000	37135000	2|3	2|3
chr2	37135000	57998000	2|2	2|2
chr2	57998000	62005000	2|3	2|3
chr2	62005000	65646000	2|2	2|2
chr2	65646000	68337000	2|2	2|3
chr2	68337000	73438000	2|2	2|2
chr2	73438000	74446000	3|2	3|2
chr2	74446000	74625000	2|2	2|2
chr2	74625000	75607000	1|2	1|2
chr2	75607000	86693000	2|2	2|2
chr2	86693000	90165000	2|2	3|2
chr2	90165000	140274000	2|2	2|2
chr2	140274000	150666000	2|2	2|3
chr2	150666000	159194000	2|2	2|2
chr2	159194000	159500000	0|2	0|2
chr2	159500000	160209000	0|2	0|1
chr2	160209000	183820000	2|2	2|1
chr2	183820000	199277000	2|2	2|2
chr2	199277000	202325000	2|2	2|3
chr2	202325000	202661000	2|2	2|2
chr2	202661000	203663000	2|3	2|3
chr2	203663000	205204000	2|2	2|2
chr2	205204000	207720000	3|2	3|2
chr2	207720000	219939000	2|2	2|2
chr2	219939000	222628000	2|2	1|2
chr2	222628000	223620000	1|2	1|2
chr2	223620000	230255000	2|2	1|2
chr2	230255000	236829000	2|2	2|2
chr2	236829000	239820000	1|2	1|2
chr2	239820000	243199373	2|2	2|2
chr3	0	15108000	2|2	2|2
chr3	15108000	16096000	2|2	2|1
chr3	16096000	30095000	2|2	2|2
chr3	30095000	31091000	2|2	2|1
chr3	31091000	46295000	2|2	2|2
chr3	46295000	62854000	4|2	4|2
chr3	62854000	112271000	2|2	2|2
chr3	112271000	113284000	2|2	2|3
chr3	113284000	131102000	2|2	2|2
chr3	131102000	134053000	2|2	2|1
chr3	134053000	148913000	2|2	2|2
chr3	148913000	152054000	3|2	3|2
chr3	152054000	154196000	2|2	2|2
chr3	154196000	157513000	1|2	1|2
chr3	157513000	160816000	2|2	2|2
chr3	160816000	180086000	3|2	3|2
chr3	180086000	198022430	2|2	2|2
chr4	0	44227000	0|2	0|2
chr4	44227000	53161000	0|2	0|3
chr4	53161000	54159000	0|3	0|4
chr4	54159000	55305000	0|2	0|3
chr4	55305000	67339000	0|2	0|2
chr4	67339000	68353000	0|2	0|3
chr4	68353000	139922000	0|2	0|2
chr4	139922000	143496000	0|1	0|1
chr4	143496000	143929000	0|2	0|2
chr4	143929000	144935000	0|1	0|1
