#CHR	START	END	clone0	clone1	clone2
chr1	0	93000	2|2	2|2	2|2
chr1	93000	2151000	2|4	2|4	2|4
chr1	2151000	6614000	2|2	2|2	2|2
chr1	6614000	10316000	2|2	2|1	2|2
chr1	10316000	12871000	2|2	2|2	2|2
chr1	12871000	17538000	2|2	3|2	2|2
chr1	17538000	20348000	4|2	6|2	4|2
chr1	20348000	21227000	4|2	7|2	4|2
chr1	21227000	21372000	2|2	4|2	2|2
chr1	21372000	25062000	2|2	3|2	2|2
chr1	25062000	46716000	2|2	2|2	2|2
chr1	46716000	47716000	2|2	2|2	3|2
chr1	47716000	52605000	2|2	2|2	2|2
chr1	52605000	55993000	2|0	2|0	2|0
chr1	55993000	61179000	2|2	2|2	2|2
chr1	61179000	64515000	2|4	2|4	2|4
chr1	64515000	70297000	2|2	2|2	2|2
chr1	70297000	71304000	2|2	3|2	2|2
chr1	71304000	74807000	2|2	2|2	2|2
chr1	74807000	91235000	2|2	3|2	2|2
chr1	91235000	92225000	2|2	2|2	2|2
chr1	92225000	98658000	2|2	3|2	2|2
chr1	98658000	120101000	2|2	2|2	2|2
chr1	120101000	121673000	2|2	3|2	2|2
chr1	121673000	124344000	0|2	0|2	0|2
chr1	124344000	124486000	0|0	0|0	0|0
chr1	124486000	125332000	2|0	3|0	2|0
chr1	125332000	126558000	2|2	3|2	2|2
chr1	126558000	129629000	2|2	2|2	2|2
chr1	129629000	132370000	0|2	0|2	0|2
chr1	132370000	133581000	0|2	0|2	0|1
chr1	133581000	135803000	2|2	2|2	2|1
chr1	135803000	142308000	2|2	2|2	2|2
chr1	142308000	143302000	2|0	2|0	2|0
chr1	143302000	144499000	2|2	2|2	2|2
chr1	144499000	145278000	0|2	0|2	0|2
chr1	145278000	145494000	0|2	0|2	0|3
chr1	145494000	146261000	2|2	2|2	2|3
chr1	146261000	148439000	2|2	2|2	2|2
chr1	148439000	149439000	2|2	2|2	2|1
chr1	149439000	175099000	2|2	2|2	2|2
chr1	175099000	175429000	0|2	0|2	0|2
chr1	175429000	177875000	0|2	0|2	0|1
chr1	177875000	177889000	2|2	2|2	2|1
chr1	177889000	178685000	1|2	1|2	1|1
chr1	178685000	188624000	1|2	1|2	1|2
chr1	188624000	221678000	2|2	2|2	2|2
chr1	221678000	233039000	2|2	2|2	3|2
chr1	233039000	249250621	2|2	2|2	2|2
chr2	0	7146000	2|2	2|2	2|2
chr2	7146000	8148000	2|0	2|0	2|0
chr2	8148000	20145000	2|2	2|2	2|2
chr2	20145000	20574000	2|2	2|2	1|2
chr2	20574000	23606000	2|2	2|1	1|2
chr2	23606000	38546000	2|2	2|2	1|2
chr2	38546000	49832000	2|2	2|2	2|2
chr2	49832000	55908000	4|2	4|2	4|2
chr2	55908000	61248000	2|2	2|2	2|2
chr2	61248000	61406000	2|4	2|4	2|4
chr2	61406000	62410000	2|4	2|4	2|3
chr2	62410000	64912000	2|4	2|4	2|4
chr2	64912000	82826000	2|2	2|2	2|2
chr2	82826000	83815000	2|2	1|2	2|2
chr2	83815000	104422000	2|2	2|2	2|2
chr2	104422000	105418000	4|2	4|2	4|2
chr2	105418000	108680000	2|2	2|2	2|2
